price_id,hotel_id,room_type,total_price
price_769,hotel_729,Double bed,"Der aktuelle Preis beträgt 196 €.196 €"
price_778,hotel_732,Double bed,"Der aktuelle Preis beträgt 96 €.96 €"
price_781,hotel_733,Double bed,"Der aktuelle Preis beträgt 136 €.136 €"
price_784,hotel_734,Double bed,"Der aktuelle Preis beträgt 170 €.170 €"
price_787,hotel_735,Double bed,"Der aktuelle Preis beträgt 426 €.426 €"
price_790,hotel_736,Double bed,"Der aktuelle Preis beträgt 96 €.96 €"
price_793,hotel_737,Double bed,"Der aktuelle Preis beträgt 149 €.149 €"
price_796,hotel_738,Double bed,"Der aktuelle Preis beträgt 136 €.136 €"
price_799,hotel_739,Double bed,"Der aktuelle Preis beträgt 161 €.161 €"
price_802,hotel_740,Double bed,"Der aktuelle Preis beträgt 96 €.96 €"
price_805,hotel_741,Double bed,"Der aktuelle Preis beträgt 251 €.251 €"
price_808,hotel_742,Double bed,"Der aktuelle Preis beträgt 136 €.136 €"
price_814,hotel_744,Double bed,"Der aktuelle Preis beträgt 161 €.161 €"
price_817,hotel_745,Double bed,"Der aktuelle Preis beträgt 106 €.106 €"
price_820,hotel_746,Double bed,"Der aktuelle Preis beträgt 181 €.181 €"
price_823,hotel_747,Double bed,"Der aktuelle Preis beträgt 170 €.170 €"
price_826,hotel_748,Double bed,"Der aktuelle Preis beträgt 261 €.261 €"
price_829,hotel_749,Double bed,"Der aktuelle Preis beträgt 96 €.96 €"
price_832,hotel_750,Double bed,"Der aktuelle Preis beträgt 426 €.426 €"
price_835,hotel_751,Double bed,"Der aktuelle Preis beträgt 296 €.296 €"
