hotel_id,hotel_name,hotel_address,hotel_city
hotel_646,Collection O Phoenix Hotel,28  St.28 C  Community 118  Nakheel Area  Dubai  Dubai  39674,Dubai
hotel_647,Hyatt Regency Galleria Residence Dubai,Deira Corniche  Po Box 6655  Dubai,Dubai
hotel_648,Gold Sky Avenue Hotel,Al Khor Street  Deira - Al Sabkha  Dubai,Dubai
hotel_649,Grayton Hotel Dubai,12A Street  Al Mankhool  Bur Dubai  Dubai,Dubai
hotel_650,Mercure Dubai Deira,Al Yazia Plaza Al Khaleej Road 110 Deira  Dubai  15472,Dubai
hotel_651,AL KARNAK HOTEL BRANCH,Al Sabkha Rd  Dubai  Dubai,Dubai
hotel_652,Gateway Hotel,Al Nahdha St- Al Fahidi - Khaleed Bin  Waleed Road  Bur Dubai  Dubai,Dubai
hotel_653,Collection O San Marino Hotel,Frij Al Murar  Deira  Dubai,Dubai
hotel_654,Swissotel Living Al Ghurair,Umar Bin Al kattab Rd  Deira  Near Al Ghurair Center  Dubai,Dubai
hotel_655,Oyo 492 Gulf Star,9 12 A St  Dubai  Dubai,Dubai
hotel_656,Majestic City Retreat Hotel,Mankhool Road  Bur Dubai  Dubai  122235,Dubai
hotel_657,Millennium Plaza Downtown Hotel,Sheikh Zayed Road  Po Box 23215  Dubai,Dubai
hotel_658,"Rove City Centre, Deira",24 19b Street  Port Saeed  Dubai,Dubai
hotel_659,Savoy Crest Hotel Apartments,Al Mankhool 10b Street  Bur Dubai  Dubai  29016,Dubai
hotel_660,City Stay Premium Hotel Apartments,Naif St  Dubai  Dubai,Dubai
hotel_661,Best Western Plus Pearl Creek,90 Baniyas Road  Dubai  83163,Dubai
hotel_662,The Canvas Dubai - MGallery Hotel Collection,23  Kuwait Street  Port Rashid  Dubai  Dubai  116656,Dubai
hotel_663,Regent Palace Hotel,World Trade Centre Rd  Dubai,Dubai
hotel_664,Sheraton Dubai Creek Hotel & Towers,Baniyas Street  Po Box 4250  Dubai,Dubai
hotel_665,Nihal Residency Hotel Apartments,Behind ADCB Bank &  Al Fahidi Metro Station  Dubai  25295,Dubai
hotel_666,Jumeirah Living - World Trade Centre Residence,2nd Zabeel Road  World Trade Center  Dubai  0000,Dubai
hotel_667,Collection O San Marino Hotel,Frij Al Murar  Deira  Dubai,Dubai
hotel_668,Aparthotel Adagio Dubai Deira,110 Al Khaleej Road  Deira-Afra Plaza  Dubai,Dubai
hotel_669,Hyatt Place Wasl District Residences,Wasl District  Dubai  Dubai  128851,Dubai
hotel_670,Ascot Hotel,Khalid Bin Walid Road  Bur Dubai  Dubai,Dubai
hotel_671,New Royal Mark Hotel Apartments,Dubai  Dubai  Dubai,Dubai
hotel_672,DoubleTree by Hilton Dubai M Square Hotel & Residences,M Square Building  Al Mankhool  Dubai,Dubai
hotel_673,Royal Tulip Hotel,Opposite Delhi Resturant  Al Murar area  Deira  Dubai  Dubai,Dubai
hotel_674,Al Bandar Rotana – Dubai Creek,Baniyas Road  Deira  Dubai,Dubai
hotel_675,Royal Ascot Hotel,Khalid Bin Walid Road  Bur Dubai  Dubai,Dubai
hotel_676,Centara Mirage Beach Resort Dubai,Dubai Islands  Dubai  P.O31308,Dubai
