image_id,hotel_id,image_path
hotelimage_733,hotel_733,new_hotels_images/hotel_733.jpg
hotelimage_734,hotel_734,new_hotels_images/hotel_734.jpg
hotelimage_735,hotel_735,new_hotels_images/hotel_735.jpg
hotelimage_736,hotel_736,new_hotels_images/hotel_736.jpg
hotelimage_737,hotel_737,new_hotels_images/hotel_737.jpg
hotelimage_738,hotel_738,new_hotels_images/hotel_738.jpg
hotelimage_739,hotel_739,new_hotels_images/hotel_739.jpg
hotelimage_740,hotel_740,new_hotels_images/hotel_740.jpg
hotelimage_741,hotel_741,new_hotels_images/hotel_741.jpg
hotelimage_742,hotel_742,new_hotels_images/hotel_742.jpg
hotelimage_744,hotel_744,new_hotels_images/hotel_744.jpg
hotelimage_745,hotel_745,new_hotels_images/hotel_745.jpg
hotelimage_746,hotel_746,new_hotels_images/hotel_746.jpg
hotelimage_747,hotel_747,new_hotels_images/hotel_747.jpg
hotelimage_748,hotel_748,new_hotels_images/hotel_748.jpg
hotelimage_749,hotel_749,new_hotels_images/hotel_749.jpg
hotelimage_750,hotel_750,new_hotels_images/hotel_750.jpg
hotelimage_751,hotel_751,new_hotels_images/hotel_751.jpg
hotelimage_752,hotel_752,new_hotels_images/hotel_752.jpg
hotelimage_753,hotel_753,new_hotels_images/hotel_753.jpg
hotelimage_754,hotel_754,new_hotels_images/hotel_754.jpg
hotelimage_755,hotel_755,new_hotels_images/hotel_755.jpg
hotelimage_756,hotel_756,new_hotels_images/hotel_756.jpg
hotelimage_757,hotel_757,new_hotels_images/hotel_757.jpg
hotelimage_758,hotel_758,new_hotels_images/hotel_758.jpg
hotelimage_759,hotel_759,new_hotels_images/hotel_759.jpg
hotelimage_760,hotel_760,new_hotels_images/hotel_760.jpg
hotelimage_761,hotel_761,new_hotels_images/hotel_761.jpg
hotelimage_762,hotel_762,new_hotels_images/hotel_762.jpg
hotelimage_764,hotel_764,new_hotels_images/hotel_764.jpg
hotelimage_765,hotel_765,new_hotels_images/hotel_765.jpg
hotelimage_766,hotel_766,new_hotels_images/hotel_766.jpg
hotelimage_768,hotel_768,new_hotels_images/hotel_768.jpg
hotelimage_769,hotel_769,new_hotels_images/hotel_769.jpg
hotelimage_770,hotel_770,new_hotels_images/hotel_770.jpg
hotelimage_771,hotel_771,new_hotels_images/hotel_771.jpg
hotelimage_772,hotel_772,new_hotels_images/hotel_772.jpg
hotelimage_773,hotel_773,new_hotels_images/hotel_773.jpg
hotelimage_774,hotel_774,new_hotels_images/hotel_774.jpg
hotelimage_775,hotel_775,new_hotels_images/hotel_775.jpg
hotelimage_776,hotel_776,new_hotels_images/hotel_776.jpg
hotelimage_777,hotel_777,new_hotels_images/hotel_777.jpg
hotelimage_778,hotel_778,new_hotels_images/hotel_778.jpg
hotelimage_779,hotel_779,new_hotels_images/hotel_779.jpg
hotelimage_780,hotel_780,new_hotels_images/hotel_780.jpg
hotelimage_781,hotel_781,new_hotels_images/hotel_781.jpg
hotelimage_782,hotel_782,new_hotels_images/hotel_782.jpg
hotelimage_783,hotel_783,new_hotels_images/hotel_783.jpg
hotelimage_785,hotel_785,new_hotels_images/hotel_785.jpg
hotelimage_786,hotel_786,new_hotels_images/hotel_786.jpg
hotelimage_787,hotel_787,new_hotels_images/hotel_787.jpg
hotelimage_788,hotel_788,new_hotels_images/hotel_788.jpg
hotelimage_789,hotel_789,new_hotels_images/hotel_789.jpg
hotelimage_790,hotel_790,new_hotels_images/hotel_790.jpg
hotelimage_791,hotel_791,new_hotels_images/hotel_791.jpg
hotelimage_792,hotel_792,new_hotels_images/hotel_792.jpg
hotelimage_793,hotel_793,new_hotels_images/hotel_793.jpg
hotelimage_794,hotel_794,new_hotels_images/hotel_794.jpg
hotelimage_795,hotel_795,new_hotels_images/hotel_795.jpg
hotelimage_796,hotel_796,new_hotels_images/hotel_796.jpg
hotelimage_797,hotel_797,new_hotels_images/hotel_797.jpg
