hotel_id,hotel_name,hotel_address,hotel_city,hotel_UUID
hotel_128,JC Hotel,"Via Del Fosso Di Acqua Acetosa Ostiense 43 45, Fonte Ostiense, 00143 Rome, Italy",Rome,d2476a2d-e1e8-4941-a829-ae53253e1bca
hotel_129,DEZA cozy place Nazionale,"5 Via Nazionale, Central Station, 00184 Rome, Italy",Rome,fcf0200b-3cbc-4510-a1a9-346f310aa7ee
hotel_130,Hotel Maximus,"Via Firenze 12, Central Station, 00184 Rome, Italy",Rome,6495cfbd-945b-44f4-8aba-f1108fa21d15
hotel_131,Residenza a San Pietro,"Via di Santa Maria alle Fornaci 18, Aurelio, 00165 Rome, Italy",Rome,124ddb62-f77a-4685-838b-a0e2a61f48ef
hotel_132,The Steps at Eitch Belsiana,"VIA BELSIANA 27, Spagna, 00187 Rome, Italy",Rome,e34517da-0d90-4954-a070-2da632499d1d
hotel_133,Mellini Palace Suites by Premium Suites Collection,"Lungotevere dei Mellini 44 Piano 5, Vaticano Prati, 00193 Rome, Italy",Rome,4dba44a2-fcde-4fcd-9733-fb81b5e6a2c0
hotel_134,Home at Rome Vatican Suites,"13 Piazza Stazione di San Pietro, Aurelio, 00165 Rome, Italy",Rome,602faaf3-a830-4dbb-bc93-c5181221cfae
hotel_135,247 Luxury Rooms Trastevere,"Viale Di Trastevere 247, Gianicolense, 00153 Rome, Italy",Rome,f2cf4ccc-7391-4bd1-8cf3-7ffc02900dd2
hotel_136,Domus Domas - Golden Keys Collection,"Via Carlo Alberto 53, Central Station, 00185 Rome, Italy",Rome,c14c3b4a-72e6-4bc2-8e69-8239357029a1
hotel_137,Moderno Hotel Roma,"Via Magenta 2, Central Station, 00185 Rome, Italy",Rome,a585ca98-1f30-4681-aacb-1eaa31c5c371
hotel_138,48 Fourty Eight Luxury Suites,"48 Via Angelo Brunetti Interno 11;12;13 Piano 4, Spagna, 00186 Rome, Italy",Rome,5a9b3f4c-fe6a-4d9d-912f-f3de513eaab8
hotel_139,Hotel Millerose,"Via Daniele Manin 58, Central Station, 00185 Rome, Italy",Rome,6e3c3b95-2572-4d8b-94de-737b1467b926
hotel_140,Stefano House Roma,"Piazza del Risorgimento 14, Vaticano Prati, 00192 Rome, Italy",Rome,15acc824-2c21-4691-9a14-828f967fa882
hotel_141,Villa Pirandello,"Via Antonio Bosio 15B, Nomentano, 00161 Rome, Italy",Rome,9b381c70-0ed7-4df3-85e7-0c649ae0cce5
hotel_142,Hotel Lunetta,"Piazza Del Paradiso 68, Navona, 00186 Rome, Italy",Rome,1930786f-9ae4-4865-bdf1-a705f2c493d4
hotel_143,Charme Spagna Boutique Hotel,"37 Via della Mercede, Spagna, 00187 Rome, Italy",Rome,94eb1074-9637-4a57-81f4-b41cc0919c82
hotel_144,St. Peter Vatican Rooms,"Via Otranto 18 piano 3,scala A,interno 5, Vaticano Prati, 00192 Rome, Italy",Rome,2b2fdb08-8c74-4dc8-82c2-bf87e64b780a
hotel_145,The Couper Colonna,"35 Via della Colonna Antonina, Pantheon, 00186 Rome, Italy",Rome,afa6c331-f254-4a12-831d-9bf08a8b85ba
